Area_sqft,Property_BHK,Furnished_Status,Bathroom,Society,Price_(lacks),Status,House_floor,Building_floor,Floor_Category
640,2,Unfurnished,2,Forest Hills,37.0,Ready to Move,7,7,Top
894,2,Unfurnished,2,Kundan Espacio,120.0,Ready to Move,3,13,Low
560,1,Unfurnished,1,Tarangan Apartment,90.0,Ready to Move,2,3,Mid
1061,3,Unfurnished,3,Ganga Serio,185.0,Ready to Move,3,7,Low
736,2,Unfurnished,2,Tamarind Park,56.0,Ready to Move,7,12,Mid
392,1,Unfurnished,1,Ishwar River Residency,32.0,Ready to Move,12,12,Top
471,1,Unfurnished,1,Kohinoor Majesty,21.5,Ready to Move,5,9,Mid
525,1,Unfurnished,1,Sancheti Pratik Nagar,28.0,Ready to Move,1,3,Mid
390,1,Unfurnished,1,Indraprastha Indraprastha,35.0,Ready to Move,8,9,Top
517,1,Unfurnished,1,Blossom,35.0,Ready to Move,2,11,Low
645,1,Unfurnished,2,Raga Homes,37.0,Ready to Move,10,11,Top
796,2,Semi-Furnished,2,Kundan Kushal Nagar,65.0,Ready to Move,4,7,Mid
880,2,Furnished,2,Atul Avenue,75.0,Ready to Move,2,9,Low
760,2,Unfurnished,2,Ira,55.0,Ready to Move,4,10,Mid
1099,3,Unfurnished,2,Life Montage,90.0,Ready to Move,4,13,Mid
419,1,Semi-Furnished,1,Dreams Aakruti,30.0,Ready to Move,7,7,Top
770,2,Unfurnished,2,The Kate Residency,65.0,Ready to Move,1,1,Top
560,2,Unfurnished,2,Darode Shriniwas Serene County,48.0,Ready to Move,1,6,Low
500,1,Unfurnished,1,Kushal Swarnali,21.0,Ready to Move,2,11,Low
775,2,Unfurnished,2,SVG Royal Exotica,85.0,Ready to Move,2,12,Low
760,2,Unfurnished,2,Royal Sublime,78.0,Ready to Move,6,13,Mid
800,2,Furnished,1,Alok Park,42.0,Ready to Move,2,5,Mid
1825,3,Semi-Furnished,3,Balaji Infinity Project,249.0,Ready to Move,8,11,Mid
670,1,Semi-Furnished,1,Yashwin,55.0,Ready to Move,7,11,Mid
460,1,Unfurnished,2,Fortune Perfect,55.0,Ready to Move,4,12,Mid
750,2,Unfurnished,1,Sai Enclave,80.0,Ready to Move,1,4,Mid
929,2,Unfurnished,2,Manas Valley,53.0,Ready to Move,6,9,Mid
935,2,Unfurnished,2,Raheja Vistas,69.5,Ready to Move,6,11,Mid
1145,3,Semi-Furnished,2,Tanish Orchid,58.0,Ready to Move,8,12,Mid
720,2,Unfurnished,2,Dwarka City,35.0,Ready to Move,8,12,Mid
504,1,Unfurnished,1,Tushar Park,25.0,Ready to Move,4,4,Top
554,2,Furnished,2,Mangal Dham Apartment,70.0,Ready to Move,5,11,Mid
684,2,Unfurnished,2,Shivaji CHS,31.0,Ready to Move,2,3,Mid
432,1,Semi-Furnished,1,Sai Yashshree Apartment,40.0,Ready to Move,2,4,Mid
864,2,Unfurnished,2,SiddhiVinayak Vision City,40.0,Ready to Move,7,7,Top
1036,3,Unfurnished,3,Wisdom Park,107.0,Ready to Move,9,12,Top
576,1,Unfurnished,1,Laxmi Residency,46.0,Ready to Move,3,4,Top
432,1,Unfurnished,1,Laxmi Residency,46.0,Ready to Move,3,5,Mid
626,2,Furnished,2,Laxmi Residency,60.0,Ready to Move,3,5,Mid
432,1,Unfurnished,1,Sai Shiv Corner,39.0,Ready to Move,1,7,Low
432,1,Unfurnished,1,Sundaram Apartment,72.0,Ready to Move,1,6,Low
432,1,Unfurnished,1,Sarang Apartments,25.0,Ready to Move,1,3,Mid
216,1,Unfurnished,1,Subhadra Niwas,20.0,Ready to Move,1,3,Mid
324,1,Unfurnished,1,Kamal Apartment,15.0,Ready to Move,3,5,Mid
593,2,Unfurnished,2,Sai Samarth Residency,56.0,Ready to Move,2,5,Mid
504,1,Semi-Furnished,1,Siddhi Samrat Apartment,43.0,Ready to Move,3,4,Top
277,1,Unfurnished,1,Jai Shankar,31.0,Ready to Move,5,7,Mid
389,1,Unfurnished,1,Balaji Flat Mundhwa,30.0,Ready to Move,1,4,Mid
756,2,Semi-Furnished,2,Florida Estate,80.0,Ready to Move,6,7,Top
756,2,Unfurnished,2,Anandban Apartment,75.0,Ready to Move,1,5,Low
425,1,Unfurnished,1,Chandrabhaga Residency,25.0,Ready to Move,3,5,Mid
575,2,Furnished,2,Shitole Empire,63.0,Ready to Move,1,5,Low
936,3,Semi-Furnished,3,JCD Park,125.0,Ready to Move,3,4,Top
564,2,Semi-Furnished,2,Kapare Heights,55.0,Ready to Move,1,4,Mid
441,1,Unfurnished,1,Sant Sai Apartment,40.0,Ready to Move,1,5,Low
396,1,Unfurnished,1,Samarth Krupa,26.0,Ready to Move,2,5,Mid
162,1,Unfurnished,1,Nano Complex,80.0,Ready to Move,1,5,Low
432,1,Semi-Furnished,1,Nav Vrushali,65.0,Ready to Move,1,3,Mid
360,1,Unfurnished,1,Little Corner,30.0,Ready to Move,4,5,Top
418,1,Unfurnished,1,Neel Vihar,18.5,Ready to Move,2,4,Mid
385,1,Unfurnished,1,Parth Darshan,24.0,Ready to Move,2,6,Mid
868,3,Unfurnished,2,Tanishka Heights,75.0,Ready to Move,3,4,Top
508,1,Unfurnished,1,Surya Kiran Apartment,55.0,Ready to Move,3,4,Top
468,1,Unfurnished,1,Dwarkadhish Apartment,30.0,Ready to Move,4,4,Top
324,1,Unfurnished,1,Dwarka City,13.0,Ready to Move,2,3,Mid
672,2,Unfurnished,2,Todkar Aangan,42.0,Ready to Move,3,5,Mid
583,2,Semi-Furnished,2,Chrishh Heights,33.0,Ready to Move,2,4,Mid
385,1,Furnished,1,Chaurang Smit Shilp,30.0,Ready to Move,3,7,Mid
504,1,Semi-Furnished,1,Bhagyalaxmi Hieghts,52.0,Ready to Move,2,5,Mid
312,1,Semi-Furnished,1,Bhagwati Residency,21.0,Ready to Move,2,5,Mid
842,2,Semi-Furnished,2,Shalimar Apartment,95.0,Ready to Move,3,4,Top
403,1,Unfurnished,1,Bhakti Residency,20.0,Ready to Move,5,5,Top
367,1,Unfurnished,1,Athashree Landmark,22.0,Ready to Move,4,5,Top
472,1,Semi-Furnished,1,Pavani Paradise,34.0,Ready to Move,4,4,Top
522,1,Semi-Furnished,1,Pranayraj Garden,40.0,Ready to Move,3,3,Top
393,1,Unfurnished,1,Lakshmi Kamal Palace,21.0,Ready to Move,1,6,Low
605,2,Unfurnished,2,Ustav,44.0,Ready to Move,1,4,Mid
396,1,Semi-Furnished,1,Yashwant Apartment,48.0,Ready to Move,2,4,Mid
700,2,Unfurnished,2,Yashwant Nagar,50.0,Ready to Move,4,5,Top
425,1,Unfurnished,1,Joshi Apartment,35.0,Ready to Move,2,4,Mid
239,1,Unfurnished,1,Hadapsar Vaishnavi Mahila Society Carpet Area 239 sqft Status Ready to Move Floor 1 out of 4 Transaction Resale Furnishing Unfurnished Society Vaishnavi Mahila Society,12.0,Ready to Move,1,4,Mid
396,1,Unfurnished,1,Kunal Homes,32.0,Ready to Move,3,4,Top
634,2,Unfurnished,2,Glorious Park,55.0,Ready to Move,4,7,Mid
251,1,Unfurnished,2,Maple Aapla Ghar Urli Kanchan Lakeside,25.0,Ready to Move,7,8,Top
458,1,Unfurnished,1,Swastik Diamond Rockk,45.0,Ready to Move,4,13,Mid
612,2,Unfurnished,1,Prathamesh Residency,48.0,Ready to Move,1,5,Low
395,1,Unfurnished,1,Venkateshwara Silver Nest,17.0,Ready to Move,2,3,Mid
914,2,Unfurnished,2,Silver Gardenia,90.0,Ready to Move,6,12,Mid
432,2,Semi-Furnished,2,Somani Dream Home Phase II,42.0,Ready to Move,8,13,Mid
468,1,Unfurnished,1,ASR 18 Nests,45.0,Ready to Move,2,8,Mid
662,2,Unfurnished,2,Ikon Krishna Dham,60.0,Ready to Move,4,6,Mid
432,1,Semi-Furnished,2,GK Rose Mansion,36.5,Ready to Move,10,10,Top
430,1,Unfurnished,2,Amrutkalash,22.0,Ready to Move,4,5,Top
747,2,Semi-Furnished,2,Avior Aatman,99.0,Ready to Move,11,12,Top
360,1,Unfurnished,1,Gurukrupa Terrace,35.0,Ready to Move,2,3,Mid
511,1,Furnished,2,Kunal Apartment,60.0,Ready to Move,1,3,Mid
648,2,Semi-Furnished,2,Shri Shree Tuljabhavani,59.0,Ready to Move,3,8,Mid
562,2,Unfurnished,2,Manav Wild Woods,53.0,Ready to Move,1,14,Low
360,1,Semi-Furnished,1,Shree Krishna Heights,35.0,Ready to Move,3,4,Top
997,3,Semi-Furnished,2,Suryakant Kakade City,140.0,Ready to Move,1,11,Low
360,1,Semi-Furnished,1,Austin Vallabh,38.0,Ready to Move,2,8,Mid
515,1,Unfurnished,1,Sukhwani Woods,45.0,Ready to Move,4,6,Mid
665,2,Semi-Furnished,2,Kolte Patil Life Republic Sector R16 16th Avenue Arezo F Building,65.0,Ready to Move,3,7,Mid
572,2,Unfurnished,2,Jain Towers,35.0,Ready to Move,5,8,Mid
775,2,Unfurnished,2,Govardhan Anandban,66.0,Ready to Move,3,6,Mid
364,1,Semi-Furnished,1,Akshay Yashshree,26.0,Ready to Move,2,5,Mid
468,1,Unfurnished,2,Five Elements Shubharambh,36.0,Ready to Move,6,13,Mid
454,2,Unfurnished,2,Palaash 24,41.5,Ready to Move,5,8,Mid
497,2,Furnished,1,Mantra Insignia Phase 3,54.0,Ready to Move,7,14,Mid
857,3,Unfurnished,1,Samruddhi Heights CHS,50.0,Ready to Move,4,5,Top
540,2,Unfurnished,1,Samarth Sunako Heights,75.0,Ready to Move,2,6,Mid
504,2,Unfurnished,2,Bala Sai Rose View Residency,29.0,Ready to Move,2,5,Mid
396,1,Unfurnished,1,Saikrupa Vishwakalyan Nagri,17.0,Ready to Move,5,5,Top
584,2,Semi-Furnished,2,Karhans Sanidhya,62.0,Ready to Move,2,3,Mid
626,2,Semi-Furnished,2,Samruddhi Arihant Heights,57.0,Ready to Move,1,8,Low
418,1,Unfurnished,1,Prajol Aashiyana,31.0,Ready to Move,1,6,Low
1037,3,Unfurnished,3,Nilharsh Dwarka,94.0,Ready to Move,2,8,Mid
418,1,Semi-Furnished,2,Intella Vardhaman Gold,21.0,Ready to Move,1,4,Mid
497,1,Semi-Furnished,1,Samrat Atharva Patson Phinix PH II,28.0,Ready to Move,1,4,Mid
432,1,Semi-Furnished,1,Vighnaharta Sankul,30.0,Ready to Move,4,7,Mid
598,2,Unfurnished,2,Ayush River Park View,60.0,Ready to Move,4,8,Mid
792,2,Unfurnished,2,Tuljai Residency,50.0,Ready to Move,5,9,Mid
219,1,Unfurnished,1,Dhanalaxmi Swayambhu Heights,11.8,Ready to Move,1,4,Mid
432,1,Unfurnished,1,Amcon Orchids,35.0,Ready to Move,1,5,Low
380,1,Unfurnished,1,Lodha Belmondo Augusta,70.0,Ready to Move,6,9,Mid
418,1,Unfurnished,1,Smart Avenue,33.0,Ready to Move,4,5,Top
572,2,Semi-Furnished,2,Nirmitee Shubhyog,44.0,Ready to Move,3,13,Low
522,2,Semi-Furnished,2,Gokul Dham,32.0,Ready to Move,3,3,Top
468,1,Semi-Furnished,1,Kamal Kanha Apartment,40.0,Ready to Move,2,5,Mid
483,2,Unfurnished,1,Park Avenue,42.0,Ready to Move,6,7,Top
639,2,Unfurnished,2,Green Homes Apartment,52.0,Ready to Move,4,5,Top
461,1,Semi-Furnished,1,Chandrabhaga Apartment,28.0,Ready to Move,2,5,Mid
706,2,Furnished,2,Prasanna Paradise Apartment,65.0,Ready to Move,2,5,Mid
468,1,Unfurnished,2,Saudagar Nagri CHS,45.0,Ready to Move,2,2,Top
407,1,Unfurnished,1,Chrishh Basera,22.0,Ready to Move,3,4,Top
1080,3,Furnished,3,Runwal Snehanjali,110.0,Ready to Move,1,6,Low
713,2,Unfurnished,2,Mauli Lipane Opulence,50.0,Ready to Move,2,12,Low
684,2,Furnished,2,Sahajanand Apartment,46.0,Ready to Move,4,5,Top
468,1,Semi-Furnished,1,Shree DS Homes,42.0,Ready to Move,1,6,Low
619,2,Unfurnished,2,Oriental Gold Apartment,70.0,Ready to Move,1,3,Mid
584,2,Unfurnished,2,Karhans Sanidhya,58.0,Ready to Move,2,5,Mid
468,1,Unfurnished,2,Nexus Meridian,39.0,Ready to Move,1,10,Low
468,1,Unfurnished,1,Kumar Omkar Shree,31.0,Ready to Move,2,4,Mid
402,1,Unfurnished,1,Reputed Motiram Nagar,52.0,Ready to Move,5,6,Top
360,1,Unfurnished,1,Apple Glory,25.5,Ready to Move,3,3,Top
263,1,Unfurnished,1,Tanish Bhakti,20.0,Ready to Move,11,11,Top
396,1,Unfurnished,1,Katraj Pratibha Housing Society Carpet Area 396 sqft Status Ready to Move Floor 1 out of 4 Transaction Resale Furnishing Unfurnished Society Pratibha Housing Society,40.0,Ready to Move,1,4,Mid
900,2,Furnished,2,Clover Heights,130.0,Ready to Move,6,12,Mid
648,2,Furnished,2,Legacy Celestia,80.0,Ready to Move,10,13,Top
598,2,Semi-Furnished,2,Jhala Group Simplicity,36.5,Ready to Move,3,4,Top
864,3,Furnished,3,Arnav Dopioo,50.0,Ready to Move,4,4,Top
749,3,Unfurnished,3,Soham Shitole Heights,135.0,Ready to Move,1,11,Low
396,1,Unfurnished,1,Miracle Mathura,30.0,Ready to Move,3,5,Mid
941,2,Unfurnished,2,Nilharsh Dwarka,83.0,Ready to Move,3,8,Mid
390,1,Unfurnished,1,Anubandh Residency,20.0,Ready to Move,4,5,Top
564,2,Semi-Furnished,1,Kamalraj Datta Vihar Central,40.0,Ready to Move,7,11,Mid
798,3,Semi-Furnished,2,Xrbia Riverfront,35.0,Ready to Move,5,9,Mid
331,1,Semi-Furnished,1,KUL Ecoloch Delight,46.0,Ready to Move,7,9,Top
784,2,Unfurnished,2,Swanand,89.0,Ready to Move,5,7,Mid
331,1,Furnished,1,Kamala Park,40.0,Ready to Move,2,5,Mid
677,2,Unfurnished,2,Vimal Apartment,75.0,Ready to Move,1,4,Mid
389,1,Unfurnished,1,Sai Samarth Residency,21.0,Ready to Move,2,6,Mid
464,1,Unfurnished,2,Samrudhi Residency,22.0,Ready to Move,4,5,Top
360,1,Unfurnished,1,Guru Nanak Nagar Shreyas Society Carpet Area 360 sqft Status Ready to Move Floor 1 out of 19 Transaction Resale Furnishing Unfurnished Society Shreyas Society,40.0,Ready to Move,1,19,Low
549,2,Unfurnished,1,Adinath Apartments,50.0,Ready to Move,4,5,Top
612,2,Unfurnished,2,Akash Residency,38.0,Ready to Move,2,5,Mid
504,2,Semi-Furnished,2,Rajesh Landmarks,95.0,Ready to Move,3,4,Top
324,1,Unfurnished,1,Kamakshi CHS,32.0,Ready to Move,2,3,Mid
458,1,Semi-Furnished,1,Vihana Mitribute Homes,45.0,Ready to Move,2,15,Low
1919,4,Unfurnished,3,Ganga Satellite,280.0,Ready to Move,7,11,Mid
522,1,Unfurnished,1,Sai Kashish Park,44.0,Ready to Move,5,7,Mid
360,1,Unfurnished,1,Ishan Heights,20.0,Ready to Move,3,4,Top
266,1,Unfurnished,1,Shivtej Apartment,14.0,Ready to Move,4,5,Top
879,2,Semi-Furnished,2,Narayan Park,65.0,Ready to Move,2,6,Mid
507,1,Unfurnished,1,Gagan Lawish,42.0,Ready to Move,5,11,Mid
507,1,Unfurnished,1,Gagan Lawish,36.0,Ready to Move,5,11,Mid
698,2,Semi-Furnished,2,Gagan Lawish,60.0,Ready to Move,3,11,Mid
770,2,Semi-Furnished,2,Gagan Lawish,65.0,Ready to Move,3,13,Low
792,3,Unfurnished,3,Balaji Heights,30.0,Ready to Move,1,6,Low
414,2,Unfurnished,1,Balaji Heights,28.0,Ready to Move,3,6,Mid
720,2,Unfurnished,2,Balaji Heights,45.0,Ready to Move,4,7,Mid
981,3,Semi-Furnished,3,Surana Bhansali Zinnea,99.0,Ready to Move,3,13,Low
454,1,Semi-Furnished,1,Star City,32.0,Ready to Move,9,11,Top
1033,3,Furnished,3,Belleza,120.0,Ready to Move,1,12,Low
473,1,Unfurnished,1,Premia,38.0,Ready to Move,3,12,Mid
490,1,Unfurnished,1,Belle Vie,32.0,Ready to Move,11,11,Top
752,2,Semi-Furnished,2,Belle Vie,55.0,Ready to Move,11,11,Top
576,2,Unfurnished,2,Sunshine Hills,40.0,Ready to Move,4,7,Mid
626,2,Unfurnished,2,Sunshine Hills,42.0,Ready to Move,4,7,Mid
641,2,Unfurnished,2,Sunshine Hills,44.0,Ready to Move,1,14,Low
652,2,Unfurnished,2,Sunshine Hills,47.0,Ready to Move,5,7,Mid
680,2,Unfurnished,2,Sunshine Hills,45.0,Ready to Move,5,8,Mid
418,1,Unfurnished,2,Sunshine Hills,27.0,Ready to Move,8,10,Top
475,1,Semi-Furnished,1,Sunshine Hills,30.0,Ready to Move,5,7,Mid
680,2,Unfurnished,2,Sunshine Hills,42.0,Ready to Move,7,7,Top
475,1,Semi-Furnished,1,Sunshine Hills,27.9,Ready to Move,2,7,Mid
648,2,Unfurnished,2,Silver Springs,50.0,Ready to Move,6,12,Mid
662,2,Semi-Furnished,2,Silver Springs,45.0,Ready to Move,9,11,Top
432,1,Unfurnished,1,Silver Springs,28.0,Ready to Move,4,11,Mid
414,2,Unfurnished,1,Blessings,38.0,Ready to Move,11,15,Mid
558,1,Unfurnished,1,Palm Atlantis,35.0,Ready to Move,2,11,Low
558,1,Unfurnished,1,Palm Atlantis,33.0,Ready to Move,1,13,Low
471,1,Unfurnished,1,Ira,39.0,Ready to Move,3,12,Mid
701,2,Semi-Furnished,2,Ira,52.1,Ready to Move,4,12,Mid
684,2,Unfurnished,2,Ira,50.0,Ready to Move,1,12,Low
770,2,Unfurnished,2,Ira,60.0,Ready to Move,4,10,Mid
270,1,Semi-Furnished,1,Apla Ghar Ranjangaon,19.0,Ready to Move,7,8,Top
381,2,Unfurnished,2,Aapla Ghar Sanaswadi,25.0,Ready to Move,4,6,Mid
576,2,Semi-Furnished,1,Aapla Ghar Sanaswadi,28.0,Ready to Move,2,2,Top
514,2,Unfurnished,1,Aapla Ghar Sanaswadi,17.0,Ready to Move,3,4,Top
423,1,Unfurnished,2,Mountscape,29.5,Ready to Move,5,10,Mid
864,2,Furnished,2,Palm One,90.0,Ready to Move,1,10,Low
497,1,Unfurnished,2,PRA The Lake District,25.5,Ready to Move,9,12,Top
756,2,Unfurnished,2,PRA The Lake District,45.0,Ready to Move,6,12,Mid
1138,3,Unfurnished,1,PRA The Lake District,70.0,Ready to Move,3,11,Mid
698,2,Furnished,2,Royal Orchid,72.0,Ready to Move,7,12,Mid
625,2,Semi-Furnished,2,Royal Orchid,72.0,Ready to Move,12,12,Top
740,2,Unfurnished,2,SSK Ambrosia,55.0,Ready to Move,2,11,Low
778,2,Furnished,2,Pristine Pro Life,95.0,Ready to Move,11,12,Top
612,2,Semi-Furnished,2,Balaji Residency,42.0,Ready to Move,2,5,Mid
756,2,Semi-Furnished,2,Belleza,87.0,Ready to Move,9,11,Top
922,3,Furnished,3,Kushal Nivriti,85.0,Ready to Move,4,11,Mid
778,3,Unfurnished,3,Kushal Nivriti,82.0,Ready to Move,10,11,Top
922,3,Unfurnished,3,Kushal Nivriti,85.0,Ready to Move,9,11,Top
664,2,Furnished,2,Kushal Nivriti,65.0,Ready to Move,8,11,Mid
396,1,Unfurnished,1,Kwality World Vrindavan Heights,17.0,Ready to Move,1,5,Low
756,2,Furnished,2,West Wind Park,70.0,Ready to Move,3,11,Mid
518,1,Unfurnished,2,Vishwavihar,42.0,Ready to Move,9,12,Top
263,1,Unfurnished,1,Laxmi Heights,14.0,Ready to Move,3,5,Mid
612,2,Semi-Furnished,2,Shree Sai Swapna Nagari,27.0,Ready to Move,2,4,Mid
612,2,Unfurnished,2,Shree Sai Swapna Nagari,27.0,Ready to Move,5,7,Mid
353,1,Furnished,1,Bella Casa,60.0,Ready to Move,7,12,Mid
482,1,Unfurnished,2,Silver Woods,32.0,Ready to Move,6,12,Mid
790,2,Semi-Furnished,2,Shri Sai Hills,42.0,Ready to Move,3,9,Mid
635,2,Furnished,2,Lake Shire,52.0,Ready to Move,5,13,Mid
479,1,Semi-Furnished,2,Kamalraj Hari Dwar,68.0,Ready to Move,7,10,Mid
653,2,Unfurnished,2,J D Green Paradise,45.0,Ready to Move,4,4,Top
899,3,Furnished,3,Lakeshore Residency,60.0,Ready to Move,3,4,Top
787,2,Unfurnished,2,Mango Woods,70.0,Ready to Move,7,9,Top
544,1,Semi-Furnished,1,Urban Forest,40.0,Ready to Move,2,8,Mid
