Area,Property,Furnished Status,Bathroom,Society,Price,Floor,Status
807,2 BHK,Unfurnished,Bathroom 2,Sudarshan Paradise,65 Lac,,Ready to Move
973,3 BHK,Unfurnished,Bathroom 3,Shapoorji Pallonji Sensorium,1.32 Cr,,
640,2 BHK,,Bathroom 2,Forest Hills,37 Lac,7 out of 7,Ready to Move
894,2 BHK,,Bathroom 2,Kundan Espacio,1.20 Cr,3 out of 13,Ready to Move
560,1 BHK,,Bathroom 1,Tarangan Apartment,90 Lac,2 out of 3,Ready to Move
1061,3 BHK,,Bathroom 3,Ganga Serio,1.85 Cr,3 out of 22,Ready to Move
736,2 BHK,,Bathroom 2,Tamarind Park,56 Lac,7 out of 12,Ready to Move
392,1 BHK,Unfurnished,Bathroom 1,Ishwar River Residency,32 Lac,12 out of 12,Ready to Move
471,1 BHK,Unfurnished,Bathroom 1,Kohinoor Majesty,21.5 Lac,5 out of 9,Ready to Move
525,1 BHK,Unfurnished,Bathroom 1,Sancheti Pratik Nagar,28 Lac,1 out of 3,Ready to Move
390,1 BHK,,Bathroom 1,Indraprastha Indraprastha,35 Lac,8 out of 9,Ready to Move
517,1 BHK,Unfurnished,Bathroom 1,Blossom,35 Lac,2 out of 11,Ready to Move
,1 BHK,,Bathroom 2,Mountscape,35 Lac,3 out of 8,Ready to Move
645,1 BHK,Unfurnished,Bathroom 2,Raga Homes,37 Lac,10 out of 11,Ready to Move
796,2 BHK,Semi-Furnished,Bathroom 2,Kundan Kushal Nagar,65 Lac,4 out of 7,Ready to Move
880,2 BHK,Furnished,Bathroom 2,Atul Avenue,75 Lac,2 out of 9,Ready to Move
760,2 BHK,Unfurnished,Bathroom 2,Ira,55 Lac,4 out of 10,Ready to Move
1099,3 BHK,,Bathroom 2,Life Montage,90 Lac,4 out of 13,Ready to Move
419,1 BHK,Semi-Furnished,Bathroom 1,Dreams Aakruti,30 Lac,7 out of 7,Ready to Move
770,2 BHK,,Bathroom 2,The Kate Residency,65 Lac,1 out of 1,Ready to Move
560,2 BHK,,Bathroom 2,Darode Shriniwas Serene County,48 Lac,1 out of 6,Ready to Move
2000,3 BHK,,Bathroom 2,Golande Estate,53.3 Lac,,Ready to Move
478,1 BHK,Unfurnished,Bathroom 1,Vijayalaxmi Laxmisatyam Residensy,12.7 Lac,,Ready to Move
950,2 BHK,Unfurnished,Bathroom 2,Shreeyash Shree Woods,25.2 Lac,,Ready to Move
